"filename", "language", "JavaScript", "TypeScript JSX", "JSON", "CSS", "TypeScript", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\3af8302a34ff3f9b.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\3c4b6483cb36fe68.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\3ca36a23adbbd0d4.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\3ceff98b83edd5ba.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\3d3bada15a49a51a.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\3f143ce00dddf463.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\3fd574372d51d356.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\40295ba76eb93afd.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\404846168f14f227.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\437e40c658bb17cd.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\44288f0073fcc4b9.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\47396008231a81e3.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\478146370f32c537.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\4936085bfb196153.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\4973ea30c81c600a.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\497efc25dbe6dd76.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\499d0255c918291e.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\4aadc740f0277373.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\4acf9e39d300fd5c.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\4b294efc754c21b7.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\4bac7e0d3bc694aa.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\4be6c3196b0e7880.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\4cc9dfe53752ec11.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\4df61bd6841d5eac.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\4e4c07c1c572ae5f.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\4e7177463858ed6a.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\4ff81d283a481acd.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\52a6ee1060dbb5bd.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\536a639bf7e5e9f4.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\53e51f86ef56df26.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\54f6af229006dffa.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\55c1de0576594fd6.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\568a68dbfa67aef9.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\599be672b367805b.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\59bfc2d9eba83495.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\59f4dd90ac1f2a7b.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\5a3d1bcfab1dc770.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\5ab59c38990547bb.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\5b9b8e077d5bcc30.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\5bbc0606b035f308.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\5c91122845ef46d4.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\5cabda8068dd9499.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
