"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "Markdown", "JSON", "HTML", "TypeScript JSX", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\layout.js", "JavaScript", 156, 0, 0, 0, 0, 0, 0, 0, 0, 98, 91, 345
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\maps\page.js", "JavaScript", 516, 0, 0, 0, 0, 0, 0, 0, 0, 314, 307, 1137
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\model\page.js", "JavaScript", 2216, 0, 0, 0, 0, 0, 0, 0, 0, 1334, 1327, 4877
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\spreadsheets\page.js", "JavaScript", 701, 0, 0, 0, 0, 0, 0, 0, 0, 425, 418, 1544
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\upload\page.js", "JavaScript", 485, 0, 0, 0, 0, 0, 0, 0, 0, 296, 289, 1070
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\main-app.js", "JavaScript", 1070, 0, 0, 0, 0, 0, 0, 0, 0, 650, 643, 2363
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\polyfills.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\webpack.js", "JavaScript", 1292, 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 1415
"c:\Users\rfrjo\pothole-detection-website\.next\static\css\app\layout.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 2050, 0, 123, 35, 2208
"c:\Users\rfrjo\pothole-detection-website\.next\static\development\_buildManifest.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\development\_ssgManifest.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\0f584aead81d8e0b.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\11f1b1d943d71588.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1e7a4e87f51341b7.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\24529a00ec2f742a.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\291cb78402e3ca30.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
